idx,sku,zip,filename,category,category_en,subcategory,panel_family,model,title_raw,wattage,power_kw,capacity_ah,capacity_kwh,voltage,dimensions,features,size_kb,datasheet_size_kb,datasheet_under_1mb,datasheet_compression,has_extracted_text
26,SP-026,Part1,RT8V-M-BD TOPCON 490-500W 1961x1134x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-BD,RT8V-M-BD TOPCON 490-500W 1961x1134x30,490-500W,,,,,,TOPCon;Bifacial,13619,2951,False,lossless,True
27,SP-027,Part1,RT8V-M-DG TOPCON 420-435W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-DG,RT8V-M-DG TOPCON 420-435W,420-435W,,,,,,Bifacial;Dual Glass;TOPCon,8697,1768,False,lossless,True
28,SP-028,Part1,RT8V-M-FB FULL BLACK 390-415W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-FB,RT8V-M-FB FULL BLACK 390-415W,390-415W,,,,,,Full Black,4532,737,True,lossless,True
29,SP-029,Part1,RT8X-M TOPCON 430-460W 1762x1134x30mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8X-M,RT8X-M TOPCON 430-460W 1762x1134x30mm,430-460W,,,,,1762x1134x30mm,TOPCon,7981,1607,False,lossless,True
30,SP-030,Part1,RT8X-M-BD.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8X-M-BD,RT8X-M-BD,430-460W,,,,,,TOPCon;Bifacial,7703,1355,False,lossless,True
31,SP-031,Part1,RT9H-M-BD 700-720W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT9H-M-BD,RT9H-M-BD 700-720W,700-720W,,,,,,TOPCon;Bifacial,10714,3359,False,lossless,True
32,SP-032,Part1,RT9K-M-DG 585-610W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT9K-M-DG,RT9K-M-DG 585-610W,585-610W,,,,,,TOPCon;Bifacial;Dual Glass,9463,1877,False,lossless,True
33,SP-033,Part1,RTM003M.pdf,solar_panels,Solar Panels,,RTM small panel,RTM003M,RTM003M,1000W,,,,,,IP65;IP67,5760,854,True,lossless,True
34,SP-034,Part1,RTM040M 430x680x25mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM040M,RTM040M 430x680x25mm,40W,,,,,430x680x25mm,IP65;IP67,4918,1087,False,lossless,True
35,SP-035,Part1,RTM060M 210x52.5.pdf,solar_panels,Solar Panels,,RTM small panel,RTM060M,RTM060M 210x52.5,60W,,,,,,IP65;IP67,10858,1669,False,lossless,True
36,SP-036,Part1,RTM100-120M 166x83mm 1200x540x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM100-120M,RTM100-120M 166x83mm 1200x540x30mm,100-120W,,,,,1200x540x30mm,IP65,4462,1221,False,lossless,True
37,SP-037,Part1,RTM100M 156x78mm 1200x540x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM100M,RTM100M 156x78mm 1200x540x30mm,100W,,,,,1200x540x30mm,IP65,11867,1749,False,lossless,True
38,SP-038,Part1,RTM100M 210x78mm 1020x670x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM100M,RTM100M 210x78mm 1020x670x30mm,100W,,,,,1020x670x30mm,IP65;IP67,2262,795,True,lossless,True
39,SP-039,Part1,RTM160M 1260x580x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM160M,RTM160M 1260x580x30mm,160W,,,,,1260x580x30mm,,7533,1179,False,lossless,True
40,SP-040,Part1,RTM170M 210x105mm 1230x670x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM170M,RTM170M 210x105mm 1230x670x30mm,170W,,,,,1230x670x30mm,IP65,8359,1798,False,lossless,True
41,SP-041,Part1,RTM170M-BD1480x640x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM170M-BD1480x640x30mm,RTM170M-BD1480x640x30mm,170W,,,,,1480x640x30mm,,7884,1294,False,lossless,True
42,SP-042,Part1,RTM175-195M.pdf,solar_panels,Solar Panels,,RTM small panel,RTM175-195M,RTM175-195M,175-195W,,,,,,,4099,1622,False,lossless,True
43,SP-043,Part1,RTM200M 1217x992x35mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM200M,RTM200M 1217x992x35mm,200W,,,,,1217x992x35mm,,7541,1180,False,lossless,True
44,SP-044,Part1,RTM210-230M 18bb(210电池片) 1525x670x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM210-230M,RTM210-230M 18bb(210电池片) 1525x670x30mm,210-230W,,,,,1525x670x30mm,TOPCon,8295,1767,False,lossless,True
45,SP-045,Part1,RTM210M 1487x666x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM210M,RTM210M 1487x666x30mm,210W,,,,,1487x666x30mm,,16651,3932,False,lossless,True
46,SP-046,Part1,RTM250-330M  1640x992x35mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM250-330M,RTM250-330M  1640x992x35mm,250-330W,,,,,1640x992x35mm,,8394,1616,False,lossless,True
47,SP-047,Part1,RTM270-275M 1650x880.pdf,solar_panels,Solar Panels,,RTM small panel,RTM270-275M,RTM270-275M 1650x880,270-275W,,,,,,,4256,1069,False,lossless,True
48,SP-048,Part1,RTM300M 1650x880mm(2).pdf,solar_panels,Solar Panels,,RTM small panel,RTM300M,RTM300M 1650x880mm(2),300W,,,,,,,8061,1744,False,lossless,True
49,SP-049,Part1,RTM300M TOPCON 1530x880x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM300M,RTM300M TOPCON 1530x880x30mm,300W,,,,,1530x880x30mm,TOPCon,10112,1470,False,lossless,True
50,SP-050,Part1,RTM330M 1960x770x30mm.pdf,solar_panels,Solar Panels,,RTM small panel,RTM330M,RTM330M 1960x770x30mm,330W,,,,,1960x770x30mm,,11631,2548,False,lossless,True
51,SP-051,Part1,RTM330M 210x105mm 1750x880x30.pdf,solar_panels,Solar Panels,,RTM small panel,RTM330M,RTM330M 210x105mm 1750x880x30,330W,,,,,,,884,1232,False,lossless,True
52,SP-052,Part1,RTM340-400M 1956x992x35mm 350-400W.pdf,solar_panels,Solar Panels,,RTM small panel,RTM340-400M,RTM340-400M 1956x992x35mm 350-400W,350-400W,,,,,1956x992x35mm,IP65;IP67,7834,2123,False,lossless,True
53,OTH-053,Part1,Cable.pdf,other,Other / Accessories,,,Cable,Cable,,,,,,,,468,207,True,lossless,True
54,OTH-054,Part1,Connector.pdf,other,Other / Accessories,,,Connector,Connector,,,,,,,IP65;IP67,1005,927,True,lossless,True
55,OTH-055,Part1,Freezer Refrigerator(2).pdf,other,Other / Accessories,,,Freezer Refrigerator(2),Freezer Refrigerator(2),,,,,,,,18164,4739,False,lossless,True
56,OTH-056,Part1,Freezer Refrigerator.pdf,other,Other / Accessories,,,Freezer Refrigerator,Freezer Refrigerator,,,,,,,,57557,9131,False,lossless,True
57,OTH-057,Part1,Solar Flood Light.pdf,other,Other / Accessories,,,Solar Flood Light,Solar Flood Light,,,,,,,,1033,1478,False,lossless,True
58,CTRL-058,Part1,MPK6 Series.pdf,charge_controllers,Charge Controllers,MPPT Controller,,MPK6,MPK6 Series,,,30-100A,,12V/24V/36V/48V,,,1854,2254,False,lossless,True
59,CTRL-059,Part1,RTFT Series.pdf,charge_controllers,Charge Controllers,PWM Controller,,RTFT,RTFT Series,,,2-60A,,12V / 24V,169x95x43mm,,311,427,True,lossless,True
60,CTRL-060,Part1,RTNT Series.pdf,charge_controllers,Charge Controllers,PWM Controller,,RTNT,RTNT Series,,,2-60A,,12V / 24V,169x95x43mm,,859,843,True,lossless,True
61,BAT-061,Part1,RF12-100A.pdf,batteries,Batteries,AGM Battery,,RF12-100A,RF12-100A,,,100Ah,,12/52/57/62V,,,1140,1207,False,lossless,True
62,BAT-062,Part1,RF12-12A.pdf,batteries,Batteries,AGM Battery,,RF12-12A,RF12-12A,,,12Ah,,12V,,,1595,1764,False,lossless,True
63,BAT-063,Part1,RF12-150A.pdf,batteries,Batteries,AGM Battery,,RF12-150A,RF12-150A,,,150Ah,,12/60/65/70V,,,927,940,True,lossless,True
64,BAT-064,Part1,RF12-20A.pdf,batteries,Batteries,AGM Battery,,RF12-20A,RF12-20A,,,20Ah,,12V,,,1209,1373,False,lossless,True
65,BAT-065,Part1,RF12-26A.pdf,batteries,Batteries,AGM Battery,,RF12-26A,RF12-26A,,,26Ah,,12V,,,1218,1970,False,lossless,False
66,BAT-066,Part1,RTG12-100A White.pdf,batteries,Batteries,GEL Battery,,RTG12-100A,RTG12-100A White,,,100Ah,,12V,,,1367,1579,False,lossless,True
